Mammals,,,,
,,,,
SNo,Common name,Scientific name,Home Continent,status
48,Flat-headed Cat,Prionailurus planiceps,"Malaysia, Indonesia",E
49,Iriomote Cat,Prionailurus iriomotensis,"Japan (Iriomote Island, Ryukyu Islands)",E
50,Leopard Cat,Prionailurus bengalensis,"India, Southeast Asia",E
51,Marbled Cat,Pardofelis marmorata,"Nepal, Southeast Asia, Indonesia",E
55,Cheetah,Acinonyx jubatus,Africa to India,E
56,Common Chimpanzee,Pan troglodytes,Africa,E
57,Bonobo,Pan paniscus,Zaire,E
59,Malabar Large-spotted Civet,Viverra civettina (megaspila c.),India,E
65,Columbian white-tailed deer,Odocoileus virginianus leucurus,"U.S. (WA, OR)",E
67,Eld's Brow-antlered Deer,Cervus eldi,India to Southeast Asia,E
68,Formosan Sika Deer,Cervus nippon taioanus,Taiwan,E
69,Indochina Hog Deer,Axis porcinus annamiticus,"Thailand, Indochina",E
70,Key deer,Odocoileus virginianus clavium,U.S. (Florida),E
71,Kuhl's deer (Bawean deer),Axis porcinus kuhli,Indonesia,E
73,McNeill's deer,Cervus elaphus macneilli,"China (Sinkiang, Tibet)",E
74,Musk deer,Moschus spp. (all species),Central and eastern Asia,E
75,North China Sika Deer,Cervus nippon mandarinus,China (Shantung and Chihli Provinces),E
77,Persian fallow deer,Dama mesopotamica (dama m.),"Iraq, Iran",E
78,Ryukyu sika deer,Cervus nippon keramae,Japan (Ryukyu Islands),E
79,Shansi sika deer,Cervus nippon grassianus,China (Shansi Province),E
80,South China Sika Deer,Cervus nippon kopschi,Southern China,E
81,Swamp deer,Cervus duvauceli,"India, Nepal",E
83,Yarkand deer,Cervus elaphus yarkandensis,China (Sinkiang),E
84,Dhole,Cuon alpinus,"C.I.S., Korea, China, India, Southeast Asia",E
86,African wild dog,Lycaon pictus,Sub-Saharan Africa,E
87,Chinese River dolphin,Lipotes vexillifer,China,E
89,Drill,Mandrillus leucophaeus,Equatorial West Africa,E
90,Dugong,Dugong dugon,"East Africa to southern Japan, including U.S. (Trust Territories)",E
91,Jentink's duiker,Cephalophus jentinki,"Sierra Leone, Liberia, Côte d'Ivoire",E
92,Western giant eland,Taurotragus derbianus derbianus,Senegal to Côte d'Ivoire,E
93,African elephant,Loxodonta africana,Africa,T
94,Asian elephant,Elephas maximus,South-central and southeastern Asia,E
95,Black-footed ferret,Mustela nigripes,"Western U.S., western Canada, Rose Hill",E
96,Northern swift fox,Vulpes velox hebes,"U.S. (northern plains), Canada",E
97,San Joaquin Kit Fox,Vulpes macrotis mutica,U.S. (CA),E
98,San Miguel Island fox,Urocyon littoralis littoralis,U.S. (CA),E
99,Santa Catalina Island fox,Urocyon littoralis catalinae,U.S. (CA),E
100,Santa Cruz Island fox,Urocyon littoralis santacruzae,U.S. (CA),E
101,Santa Rosa Island fox,Urocyon littoralis santarosae,U.S. (CA),E
102,Simien fox,Canis simensis,Ethiopia,E
104,Clarke's gazelle,Ammodorcas clarkei,"Somalia, Ethiopia",E
108,Pelzeln's gazelle,Gazella dorcas pelzelni,Somalia,E
109,Rio de Oro Dama gazelle,Gazella dama lozanoi,Western Sahara,E
112,Slender-horned gazelle,Gazella leptoceros,"Sudan, Egypt, Algeria, Libya",E
113,Gibbons,"Hylobates, Nomascus, Hoolock, Symphalanges","China, India, Southeast Asia",E
114,Gray Goral,Naemorhedus goral,East Asia,E
115,Gorillas,Gorilla spp.,Central and western Africa,E
116,Hispid hare,Caprolagus hispidus,"India, Nepal, Bhutan",E
117,Swayne's Hartebeest,Alcelaphus buselaphus swaynei,"Ethiopia, Somalia",E
118,Tora Hartebeest,Alcelaphus buselaphus tora,"Ethiopia, Sudan, Egypt",E
119,Pygmy hog,Sus salvanius,"India, Nepal, Bhutan, Sikkim",E
120,Przewalski's horse,Equus przewalskii,"Mongolia, China",E
128,Brown hyena,Parahyaena (Hyaena) brunnea,Southern Africa,E
130,Walia Ibex,Capra walie,Ethiopia,E
131,Black-faced impala,Aepyceros melampus petersi,"Namibia, Angola",E
132,Indri,Indri indri,Malagasy Republic (Madagascar),E
135,Gulf Coast Jaguarundi,Puma yagouarondi cacomitli,"U.S. (TX), Mexico",E
138,Fresno Kangaroo Rat,Dipodomys nitratoides exilis,U.S. (CA),E
139,Giant kangaroo rat,Dipodomys ingens,U.S. (CA),E
140,Morro Bay kangaroo rat,Dipodomys heermanni morroensis,U.S. (CA),E
141,San Bernardino Merriam's kangaroo rat,Dipodomys merriami parvus,U.S. (CA),E
142,Stephens's Kangaroo Rat,Dipodomys stephensi (incl. D. cascus),U.S. (CA),E
143,Tipton kangaroo rat,Dipodomys nitratoides nitratoides,U.S. (CA),E
146,Kouprey,Bos sauveli,"Vietnam, Laos, Cambodia, Thailand",E
147,Capped Langur,Trachypithecus pileatus,"India, Burma, Bangladesh",E
148,Red-shanked Douc,Pygathrix nemaeus,"Cambodia, Laos, Vietnam",E
149,Francois' Langur,Trachypithecus francoisi,"China (Kwangsi), Indochina",E
150,Gee's Golden Langur,Trachypithecus geei,"India (Assam), Bhutan",E
151,Gray langurs,Semnopithecus spp.,"China (Tibet), India, Pakistan, Kashmir, Sri Lanka, Sikkim, Bangladesh",E
152,Mentawai Langur,Presbytis potenziani,Indonesia,T
153,Pig-tailed Langur,Simias concolor,Indonesia,E
154,Purple-faced Langur,Trachypithecus vetulus,Sri Lanka,T
155,Red lechwe,Kobus leche,Southern Africa,T
156,Lemurs,all genera in the Lemuriformes),Malagasy Republic (Madagascar),E
157,Leopard,Panthera pardus,"Africa, Asia",E
158,Leopard,Panthera pardus,"Africa, Asia",T
159,Clouded Leopard,Neofelis nebulosa,"Southeastern and south-central Asia, Taiwan",E
160,Snow Leopard,Uncia uncia,Central Asia,E
161,Spotted linsang,Prionodon pardicolor,"Nepal, Assam, Vietnam, Cambodia, Laos, Burma",E
163,Pygmy Slow Loris,Nycticebus pygmaeus,Indochina,T
166,Formosan Rock Macaque,Macaca cyclopis,Taiwan,T
167,Japanese Macaque,Macaca fuscata,"Japan (Shikoku, Kyushu and Honsh? Islands)",T
168,Lion-tailed Macaque,Macaca silenus,India,E
169,Stump-tailed Macaque,Macaca arctoides,India (Assam) to southern China,T
170,Toque Macaque,Macaca sinica,Sri Lanka,T
172,West African manatee,Trichechus senegalensis,West Coast of Africa from Senegal River to Cuanza River,T
173,West Indian manatee,Trichechus manatus,"U.S. (southeastern), Caribbean Sea, South America",E
174,Mandrill,Mandrillus sphinx,Equatorial West Africa,E
175,Tana River Mangabey,Cercocebus galeritus,Kenya,E
176,Collared Mangabey,Cercocebus torquatus,Senegal to Ghana; Nigeria to Gabon,E
177,Margay,Leopardus (Felis) wiedii,"U.S. (TX), Central and South America",E
185,Vancouver Island Marmot,Marmota vancouverensis,Canada (Vancouver Island),E
189,Formosan yellow-throated marten,Martes flavigula chrysospila,Taiwan,E
192,Diana Monkey,Cercopithecus diana,Coastal West Africa,E
193,Gray Snub-nosed Monkey,Rhinopithecus brelichi,China,E
194,L'Hoest's Monkey,Cercopithecus lhoesti,"Upper eastern Congo River Basin, Cameroon",E
196,Preuss's Red Colobus,Piliocolobus preussi,Cameroon,E
199,White-throated Guenon,Cercopithecus erythrogaster,Western Nigeria,E
200,Red-eared Guenon,Cercopithecus erythrotis,"Nigeria, Cameroon, Fernando Po",E
201,Golden Snub-nosed Monkey,Rhinopithecus roxellana,China,E
203,Tana River Red Colobus,Piliocolobus rufomitratus,Kenya,E
204,Tonkin Snub-nosed Langur,Rhinopithecus avunculus,Vietnam,E
207,Black Snub-nosed Monkey,Rhinopithecus bieti,China,E
209,Point Arena mountain beaver,Aplodontia rufa nigra,U.S. (CA),E
211,Anastasia Island beach mouse,Peromyscus polionotus phasma,U.S. (Florida),E
214,Choctawhatchee Beach Mouse,Peromyscus polionotus allophrys,U.S. (Florida),E
217,Key Largo cotton mouse,Peromyscus gossypinus allapaticola,U.S. (Florida),E
219,Pacific pocket mouse,Perognathus longimembris pacificus,U.S. (CA),E
221,Preble's meadow jumping mouse,Zapus hudsonius preblei,"U.S. (CO, WY)",T
222,Salt marsh harvest mouse,Reithrodontomys raviventris,U.S. (CA),E
226,Southeastern beach mouse,Peromyscus polionotus niveiventris,U.S. (Florida),T
227,St. Andrew beach mouse,Peromyscus polionotus peninsularis,U.S. (Florida),E
229,Fea's muntjac,Muntiacus feae,"Northern Thailand, Burma",E
235,Cameroon Clawless Otter,Aonyx congicus (congica) microdon,"Cameroon, Nigeria",E
240,Southern sea otter,Enhydra lutris nereis,"West Coast, U.S. (CA, OR, WA) south to Mexico (Baja California)",T
241,Giant panda,Ailuropoda melanoleuca,China,E
242,Temnick's ground pangolin,Manis temminckii,Africa,E
243,Florida panther,Puma concolor coryi,U.S. (LA and AR east to SC and Florida),E
251,Utah prairie dog,Cynomys parvidens,U.S. (UT),T
254,Pudú,Pudu pudu,Southern South America,E
255,Eastern Cougar,Puma concolor couguar,Eastern North America,E
256,Cougar (mountain lion),Puma concolor (all subsp. except coryi),Canada to South America,T(S/A)
259,Lower Keys Marsh Rabbit,Sylvilagus palustris hefneri,U.S. (Florida),E
260,Pygmy rabbit,Brachylagus idahoensis,"U.S. (CA, ID, MT, NV, OR, UT, WA, WY)",E
261,Riparian Brush Rabbit,Sylvilagus bachmani riparius,U.S. (CA),E
262,Ryukyu Rabbit,Pentalagus furnessi,Japan (Ryukyu Islands),E
271,Black rhinoceros,Diceros bicornis,Sub-Saharan Africa,E
272,Great Indian rhinoceros,rhinoceros unicornis,"India, Nepal",E
273,Javan rhinoceros,rhinoceros sondaicus,"Indonesia, Indochina, Burma, Thailand, Sikkim, Bangladesh, Malaysia",E
274,Northern white rhinoceros,Ceratotherium simum cottoni,"Zaire, Sudan, Uganda, Central African Republic",E
275,Sumatran rhinoceros,Dicerorhinus sumatrensis,Bangladesh to Vietnam to Indonesia (Borneo),E
276,Marsh rice rat (Florida subspecies),Oryzomys palustris natator,U.S. (Florida),E
277,Mongolian saiga (antelope),Saiga tatarica mongolica,Mongolia,E
280,Caribbean monk seal,Monachus tropicalis,"Caribbean Sea, Gulf of Mexico",E
281,Guadalupe fur seal,Arctocephalus townsendi,U.S. (Farallon Islands of CA) south to Mexico (Islas Revillagigedo),T
282,Hawaiian monk seal,Monachus schauinslandi,U.S. (HI),E
286,Seledang,Bos gaurus,"Bangladesh, Southeast Asia, India",E
287,serow,Naemorhedus (Capricornis) sumatraensis,"East Asia, Sumatra",E
289,Shapo,Ovis vignei vignei,Kashmir,E
290,Bighorn sheep,Ovis canadensis,"U.S. (Western conterminous states), Canada (southwestern), Mexico (northern)",E
291,Bighorn sheep,Ovis canadensis californiana,"U.S. (Western conterminous states), Canada (southwestern), Mexico (northern)",E
292,Shou,Cervus elaphus wallichi,"Tibet, Bhutan",E
293,Buena Vista Lake ornate shrew,Sorex ornatus relictus,U.S. (CA),E
294,Siamang,Symphalangus syndactylus,"Malaysia, Indonesia",E
295,Sifakas,Propithecus spp.,Malagasy Republic (Madagascar),E
299,Carolina northern flying squirrel,Glaucomys sabrinus coloratus,"U.S. (NC, TN)",E
300,Delmarva Peninsula fox squirrel,Sciurus niger cinereus,U.S. (Delmarva Peninsula to southeastern PA),E
302,Northern Idaho ground squirrel,Spermophilus brunneus brunneus,U.S. (ID),T
303,Virginia northern flying squirrel,Glaucomys sabrinus fuscus,"U.S. (VA, WV)",E
304,Barbary stag,Cervus elaphus barbarus,"Tunisia, Algeria",E
305,Kashmir stag,Cervus elaphus hanglu,Kashmir,E
306,Zanzibar suni,Neotragus moschatus moschatus,Zanzibar (and nearby islands),E
307,Arabian tahr,Hemitragus jayakari,Oman,E
312,Asian tapir,tapirus indicus,"Burma, Laos, Cambodia, Vietnam, Malaysia, Indonesia, Thailand",E
313,Central American tapir,tapirus bairdii,Southern Mexico to Colombia and Ecuador,E
317,Tiger,Panthera tigris,Temperate and tropical Asia,E
322,Amargosa vole,Microtus californicus scirpensis,U.S. (CA),E
323,Florida salt marsh vole,Microtus pennsylvanicus dukecampbelli,U.S. (Florida),E
334,Gray Whale,Eschrichtius robustus,"North Pacific Ocean—coastal and Bering Sea, formerly North Atlantic Ocean",E
341,Red wolf,Canis rufus,"U.S. (SE U.S., west to central TX)",E
343,Key Largo Woodrat,Neotoma floridana smalli,U.S. (Florida),E
344,Riparian woodrat (San Joaquin Valley),Neotoma fuscipes riparia,U.S. (CA),E
345,Wild Yak,Bos mutus (grunniens m.),"China (Tibet), India",E
346,Grevy's zebra,Equus grevyi,"Kenya, Ethiopia, Somalia",T
347,Hartmann's mountain zebra,Equus zebra hartmannae,"Namibia, Angola",T
348,Mountain zebra,Equus zebra zebra,South Africa,E
1,Hawaii Akepa (honeycreeper),Loxops coccineus coccineus,U.S. (HI),E
2,Maui ?Akepa (honeycreeper),Loxops coccineus ochraceus,U.S. (HI),E
3,Kaua?i ?Akialoa (honeycreeper),Hemignathus procerus,U.S. (HI),E
4,Akiapola`au (honeycreeper),Hemignathus munroi,U.S. (HI),E
5,Amsterdam Albatross,Diomedea amsterdamensis,Indian Ocean - Amsterdam Island,E
6,Short-tailed Albatross,Phoebastria albatrus,"North Pacific Ocean and Bering Sea - Canada, China, Japan, Mexico, Russia, Taiwan, U.S. (AK, CA, HI, OR, WA)",E
7,Thyolo Alethe,Alethe choloensis,"Malawi, Mozambique",E
8,Yellow-shouldered Blackbird,Agelaius xanthomus,U.S. (PR),E
10,Abbott's Booby,Papasula (Sula) abbotti,Indian Ocean - Christmas Island,E
13,Mauritius Olivaceous Bulbul,Hypsipetes borbonicus olivaceus,Indian Ocean - Mauritius,E
17,Great Indian Bustard,Ardeotis nigriceps,"India, Pakistan",E
18,Cahow,Pterodroma cahow,North Atlantic Ocean - Bermuda,E
22,Hawaiian Coot,Fulica americana alai,U.S. (HI),E
25,Black-necked Crane,Grus nigricollis,China (Tibet),E
27,Hooded Crane,Grus monacha,"Japan, Russia",E
28,Japanese Crane,Grus japonensis,"China, Japan, Korea, Russia",E
29,Mississippi Sandhill Crane,Grus canadensis pulla,U.S. (MS),E
30,Siberian White Crane,Grus leucogeranus,"C.I.S. (Siberia) to India, including Iran and China",E
31,White-naped Crane,Grus vipio,Mongolia,E
32,Whooping Crane,Grus americana,"Canada, U.S. (Rocky Mountains east to Carolinas), Mexico",E
33,Hawaii Creeper,Oreomystis mana,U.S. (HI),E
34,Molokai Creeper,Paroreomyza flammea,U.S. (HI),E
35,Oahu Creeper,Paroreomyza maculata,U.S. (HI),E
36,Hawaiian Crow,Corvus hawaiiensis,U.S. (HI),E
37,Mariana Crow,Corvus kubaryi,"Western Pacific Ocean - U.S. (Guam, Rota)",E
38,White-necked Crow,Corvus leucognaphalus,"U.S. (PR), Dominican Republic, Haiti",E
39,Mauritius Cuckoo-shrike,Coracina typica,Indian Ocean - Mauritius,E
40,Reunion Cuckoo-shrike,Coracina newtoni,Indian Ocean - Réunion,E
43,Trinidad White-headed Curassow,Aburria pipile,West Indies - Trinidad,E
44,Eskimo Curlew,Numenius borealis,Alaska and northern Canada to Argentina,E
45,"Dove, cloven-feathered",Drepanoptila holosericea,Southwest Pacific Ocean - New Caledonia,E
46,"Dove, Grenada gray-fronted",Leptotila rufaxilla wellsi,West Indies - Grenada,E
47,Hawaiian Duck,Anas wyvilliana,U.S. (HI),E
48,Laysan Duck,Anas laysanensis,U.S. (HI),E
49,Pink-headed Duck,Rhodonessa caryophyllacea,India,E
50,White-winged Wood Duck,Cairina scutulata,"India, Malaysia, Indonesia, Thailand",E
51,Bald eagle,Haliaeetus leucocephalus,North America south to northern Mexico,T
54,Madagascar sea eagle,Haliaeetus vociferoides,Madagascar,E
55,Madagascar Serpent Eagle,Eutriorchis astur,Madagascar,E
58,Chinese egret,Egretta eulophotes,"China, Korea",E
59,Spectacled eider,Somateria fischeri,"U.S. (AK), Russia",T
60,Steller's eider,Polysticta stelleri,"U.S. (AK), Russia, winters to Scandinavia",T
61,O'ahu ‘Elepaio,Chasiempis ibidis,U.S. (HI),E
64,Laysan finch (honeycreeper),Telespiza cantans,U.S. (HI),E
65,Nihoa Finch (honeycreeper),Telespiza ultima,U.S. (HI),E
66,Euler's flycatcher,Empidonax euleri johnstonei,West Indies - Grenada,E
67,Seychelles paradise flycatcher,Terpsiphone corvina,Indian Ocean - Seychelles,E
70,Mauritius fody,Foudia rubra,Indian Ocean - Mauritius,E
71,Rodrigues fody,Foudia flavicans,Indian Ocean - Rodrigues Island (Mauritius),E
72,Seychelles Fody (weaver-finch),Foudia sechellarum,Indian Ocean - Seychelles,E
75,Andrew's frigatebird,Fregata andrewsi,East Indian Ocean,E
77,Hawaiian goose,Branta sandvicensis,U.S. (HI),E
78,Christmas Island Goshawk,Accipiter fasciatus natalis,Indian Ocean - Christmas Island,E
81,Alaotra grebe,Tachybaptus rufolavatus,Madagascar,E
86,White-breasted Guineafowl,Agelastes meleagrides,West Africa,T
88,Relict gull,Larus relictus,"India, China",E
90,Hawaiian hawk ('lo),Buteo solitarius,U.S. (HI),E
91,Puerto Rican broad-winged hawk,Buteo platypterus brunnescens,U.S. (PR),E
92,Puerto Rican sharp-shinned hawk,Accipiter striatus venator,U.S. (PR),E
94,Crested honeycreeper,Palmeria dolei,U.S. (HI),E
96,Helmeted Hornbill,Buceros vigil,"Thailand, Malaysia",E
97,Japanese Crested Ibis,Nipponia nippon,"China, Japan, Russia, Korea",E
98,Northern Bald Ibis,Geronticus eremita,"Southern Europe, southwestern Asia, northern Africa",E
99,Florida Scrub-Jay,Aphelocoma coerulescens,U.S. (Florida),T
102,Mauritius kestrel,Falco punctatus,Indian Ocean - Mauritius,E
103,Seychelles kestrel,Falco araea,Indian Ocean - Seychelles Islands,E
104,Guam Micronesian kingfisher,Halcyon cinnamomina cinnamomina,West Pacific Ocean - U.S. (Guam),E
106,Everglade Snail Kite,Rostrhamus sociabilis plumbeus,"U.S. (Florida), Cuba",E
107,Grenada hook-billed kite,Chondrohierax uncinatus mirus,West Indies - Grenada,E
113,Seychelles Magpie Robin (thrush),Copsychus sechellarum,Indian Ocean - Seychelles Islands,E
114,Ibadan Malimbe,Malimbus ibadanensis,Nigeria,E
,,,,
For other formats kindly visit : www.downloadexcelfiles.com,,,,
,,,,
Original source,,,,
